"Field","Name","Format","Description","Values","Cleaning","Derivations","Notes"
"LAD98","Local Authority District 1998","String(4)","The patient's county (first two characters) and local authority district (last two characters) of residence, derived in HES from the patient's postcode (HOMEADD). This field is used in conjunction with CURRWARD (current electoral ward) to produce a unique value indicating the ward within a given district where the patient resided (i.e. because identical Currward codes are allocated to many local authority districts, currward is meaningless in isolation). If the patient is resident within a Unitary Authority, the first two characters will be 00 (zero, zero) and the local authority component may not be useable.","nnaa = Local authority code  
S = Scotland  
U = England (NOS)  
W = Wales  
Y = Not known  
Z = Northern Ireland  
X = Foreign",NA,NA,NA
"LEGALGPA","Legal Group of Patient (on Admission)","String(1)","A code that allocates the legal status of a patient to one of eight groups (an aggregation of legal status of a patient on admission, LEGLCAT).","0 = Not formally detained (LEGLCAT is 01 or spaces)  
1 = Formally detained under Part II, Sections 2 to 34 of the Mental Health Act 1983 (LEGLCAT is 02 to 06, or 2 to 6)  
2 = Formally detained under Part III, Sections 35 to 55 of the Mental Health Act 1983, or previous legislation (LEGLCAT is 07 to18, 30 to 32, 34 or 7 to 9)  
3 = Formally detained under Part X, Sections 131 to 149 of the Mental Health Act 1983 (LEGLCAT is 19 or 20)  
4 = Supervised discharge under the Mental Health Act 1995 (LEGLCAT is 33)  
5 = Guardianship (Sections 7 & 37) under the Mental Health Act 1983 (LEGLCAT is 35 or 36)  
Not applicable = i.e. home births/deliveries where EPITYPE is 5 or 6  
Not known = Any other value for leglcat",NA,"RULE_1135","Y"
"LEGALGPC","Legal Group of Patient (Psychiatric Census Date)","String(1)","Legal group of patient, an aggregation of the Legal Status Classification, LEGLSTAT. This field contains a code that allocates the legal status of a patient to one of eight groups.

","0 = Legal status on psychiatric census date is not formally detained, LEGLSTAT =01 or spaces  
1 = Legal status on psychiatric census date, LEGLSTAT = 02-06 or 2-6: Formally detained under Part II (Section 2-34) of the Mental Health Act 1983  
2 = Legal status on admission, LEGLSTAT = 07-18, 30-32, 34 or 7-9: Formally detained under Part III (Section 35-55) of the Mental Health Act 1983, or previous legislation  
3 = Legal status on admission, LEGLSTAT = 19-20: Formally detained under Part X (Sections 131-149) of the Mental Health Act 1983  
4 = Legal status on admission, LEGLSTAT = 33: Supervised discharge under the Mental Health Act 1995  
5 = Legal status on admission, LEGLSTAT = 35, 36: Guardianship (Sections 7 & 37) under the Mental Health Act 1983  
8 = Not applicable 
9 = Not known: any other value for LEGLSTAT.",NA,"RULE_0895",NA
"LEGLCAT","Legal Category of Patient","String(2)","The legal category of all formally and informally detained patients on admission. An informally detained patient is one who is not formally detained, but has been in hospital for a year or more in the care of a consultant in the psychiatric specialties. This item is required for all admissions to psychiatric specialties.","01 = Informal  
02 = Formally detained under the Mental Health Act, Section 2  
03 = Formally detained under the Mental Health Act, Section 3  
04 = Formally detained under the Mental Health Act, Section 4  
05 = Formally detained under the Mental Health Act, Section 5(2)  
06 = Formally detained under the Mental Health Act, Section 5(4)  
07 = Formally detained under the Mental Health Act, Section 35  
08 = Formally detained under the Mental Health Act, Section 36  
09 = Formally detained under the Mental Health Act, Section 37 with Section 41 restrictions  
10 = Formally detained under the Mental Health Act, Section 37 excluding Section 37(4)  
11 = Formally detained under the Mental Health Act, Section 37(4)  
12 = Formally detained under the Mental Health Act, Section 38  
13 = Formally detained under the Mental Health Act, Section 44  
14 = Formally detained under the Mental Health Act, Section 46  
15 = Formally detained under the Mental Health Act, Section 47 with Section 49 restrictions  
16 = Formally detained under the Mental Health Act, Section 47  
17 = Formally detained under the Mental Health Act, Section 48 with Section 49 restrictions  
18 = Formally detained under the Mental Health Act, Section 48  
19 = Formally detained under the Mental Health Act, Section 135  
20 = Formally detained under the Mental Health Act, Section 136  
21 = Formally detained under the previous legislation (fifth schedule)  
22 = Formally detained under Criminal Procedure (Insanity) Act 1964 as amended by the Criminal Procedures (Insanity and Unfitness to Plead) Act 1991  
23 = Formally detained under other Acts  
24 = Supervised discharge under the Mental Health (Patients in the Community) Act 1995  
25 = Formally detained under the Mental Health Act, Section 45A  
26 = Not applicable  
27 = Not known",NA,NA,NA
"LEGLSTAT","Legal Status Classification","String(2)","A code which defines the legal status of all formally and informally detained patients at the date of the census. An informally detained patient is one who is not formally detained, but has been in hospital for a year or more in the care of a consultant in the psychiatric specialties. It is only for unfinished records of  episode type 4.

This field is only present on records for detained and/or long-term psychiatric census patients (episode type = 4).

","01 = Informal  
02 = Formally detained under the Mental Health Act, Section 2  
03 = Formally detained under the Mental Health Act, Section 3  
04 = Formally detained under the Mental Health Act, Section 4  
05 = Formally detained under the Mental Health Act, Section 5(2)  
06 = Formally detained under the Mental Health Act, Section 5(4)  
07 = Formally detained under the Mental Health Act, Section 35  
08 = Formally detained under the Mental Health Act, Section 36  
09 = Formally detained under the Mental Health Act, Section 37 with Section 41 restrictions  
10 = Formally detained under the Mental Health Act, Section 37 excluding Section 37(4)  
11 = Formally detained under the Mental Health Act, Section 37(4)  
12 = Formally detained under the Mental Health Act, Section 38  
13 = Formally detained under the Mental Health Act, Section 44  
14 = Formally detained under the Mental Health Act, Section 46  
15 = Formally detained under the Mental Health Act, Section 47 with Section 49 restrictions  
16 = Formally detained under the Mental Health Act, Section 47  
17 = Formally detained under the Mental Health Act, Section 48 with Section 49 restrictions  
18 = Formally detained under the Mental Health Act, Section 48  
19 = Formally detained under the Mental Health Act, Section 135  
20 = Formally detained under the Mental Health Act, Section 136  
30 = Formally detained under the previous legislation (fifth schedule)  
31 = Formally detained under Criminal Procedure (Insanity) Act 1964 as amended by the Criminal Procedures (Insanity and Unfitness to Plead) Act 1991  
32 = Formally detained under other Acts  
33 = Supervised discharge under the Mental Health (Patients in the Community) Act 1995  
34 = Formally detained under the Mental Health Act, Section 45A  
35 Subject to guardianship under Mental Health Act Section 7  
36 Subject to guardianship under Mental Health Act Section 37  
98 = Not applicable  
99 = Not known",NA,NA,NA
"LEGLSTATST","Legal Status Classification Code on Admission","String(2)","This field is identical to LEGLCAT, and so will eventually retire from HES. The legal category of all formally and informally detained patients on admission. See LEGLCAT field for full description. Access to this field requires the approval of Data Access Advisory Group (DAAG).","01 = Informal  
02 = Formally detained under the Mental Health Act, Section 2  
03 = Formally detained under the Mental Health Act, Section 3  
04 = Formally detained under the Mental Health Act, Section 4  
05 = Formally detained under the Mental Health Act, Section 5(2)  
06 = Formally detained under the Mental Health Act, Section 5(4)  
07 = Formally detained under the Mental Health Act, Section 35  
08 = Formally detained under the Mental Health Act, Section 36  
09 = Formally detained under the Mental Health Act, Section 37 with Section 41 restrictions  
10 = Formally detained under the Mental Health Act, Section 37  
12 = Formally detained under the Mental Health Act, Section 38  
13 = Formally detained under the Mental Health Act, Section 44  
14 = Formally detained under the Mental Health Act, Section 46  
15 = Formally detained under the Mental Health Act, Section 47 with Section 49 restrictions  
16 = Formally detained under the Mental Health Act, Section 47  
17 = Formally detained under the Mental Health Act, Section 48 with Section 49 restrictions  
18 = Formally detained under the Mental Health Act, Section 48  
19 = Formally detained under the Mental Health Act, Section 135  
20 = Formally detained under the Mental Health Act, Section 136  
31 = Formally detained under Criminal Procedure(Insanity) Act 1964 as amended by the Criminal Procedures (Insanity and Unfitness to Plead) Act 1991  
32 = Formally detained under other acts  
33 = Supervised Discharge (Mental Health (Patients in the Community) Act 1995)  
34 = Formally detained under Mental Health Act Section 45A  
35 = Subject to guardianship under Mental Health Act Section 7  
36 = Subject to guardianship under Mental Health Act Section 37  
98 = Not applicable  
99 = Not known",NA,NA,NA
"LOPATID","Local Patient Identifier","String(10)","The local identifier used to identify a patient within a health care provider. It may be different from the patient's case note number and may be assigned automatically by the computer system.","10n = Local patient identifier",NA,NA,NA
"LSOA01","Lower Super Output Area of Residence 2001","String(9)","The 2001 census Lower Layer Super Output Area (LSOA) code for England and Wales, Super Output Area (SOA) code for Northern Ireland, and Data Zone code for Scotland. Pseudo codes are included for the Channel Islands and Isle of Man. The field will otherwise be blank for postcodes with no grid reference. The first character is either E for England or W for Wales, the next two characters are 01 for LSOA, and the remaining six characters make up the unique 6-digit tag for each zone. 

This field is derived in HES from the patient's postcode (HOMEADD).","9an = 2001 Lower Super Output Area  
E01000001 - E01032482 = England
W01000001- W01001896 = Wales
S01000001- S01006505 = Scotland
95AA01S1 - 95ZZ16S2 = Northern Ireland
L99999999 (pseudo) = Channel Islands
M99999999 (pseudo) = Isle of Man
Z99999999 = Not known
","RULE_1200",NA,NA
"LSOA11","Lower Super Output Area of Residence 2011","String(9)","The 2011 census Lower Layer Super Output Area (LSOA) code for England and Wales, Super Output Area (SOA) code for Northern Ireland, and Data Zone code for Scotland. Pseudo codes are included for Channel Islands and Isle of Man. The field will otherwise be blank for postcodes with no grid reference. N.B. this field remains blank for Scottish postcodes until this information is released. The first character is either E for England or W for Wales The next two characters are 01 for LSOA, and the remaining six characters make up the unique 6-digit tag for each zone.

This field is derived in HES from the patient's postcode (HOMEADD).","9an = 2011 Lower Super Output Area 
E01000001- E01033768 = England
W01000001- W01001958 = Wales
TBA = Scotland95AA01S1 ? 95ZZ16S2 = Northern Ireland
L99999999 (pseudo) = Channel Islands
M99999999 (pseudo) = Isle of Man
Z99999999 = Not known","RULE_1200",NA,NA
"MAINSPEF","Main Specialty","String(3)","The specialty under which the consultant is contracted. Compare with the treatment specialty (TRETSPEF), the specialty under which the consultant worked.","100 = General Surgery
101 = Urology
107 = Vascular Surgery (Introduced 1 April 2021)
110 = Trauma and Orthopaedics
120 = Ear Nose and Throat
130 = Ophthalmology
140 = Oral Surgery
141 = Restorative Dentistry
142 = Paediatric Dentistry
143 = Orthodontics
145 = Oral and Maxillofacial Surgery
146 = Endodontics
147 = Periodontics
148 = Prosthodontics
149 = Surgical Dentistry
150 = Neurosurgery
160 = Plastic Surgery
170 = Cardiothoracic Surgery
171 = Paediatric Surgery
191 = Pain Management (Retired 1 April 2004)
180 = Emergency Medicine
190 = Anaesthetics
192 = Intensive Care Medicine
200 = Aviation and Space Medicine (Introduced 1 April 2021)
300 = General Internal Medicine
301 = Gastroenterology
302 = Endocrinology and Diabetes
303 = Clinical Haematology
304 = Clinical Physiology
305 = Clinical Pharmacology
310 = Audio Vestibular Medicine
311 = Clinical Genetics
312 = Clinical Cytogenetics and Molecular Genetics (Retired 1 April 2010). National Code 312 is retained for consultants qualified in this Main Specialty prior to 1 April 2010
313 = Clinical Immunology
314 = Rehabilitation Medicine
315 = Palliative Medicine
317 = Allergy (Introduced 1 April 2021)
320 = Cardiology
321 = Paediatric Cardiology
325 = Sport and Exercise Medicine
326 = Acute Internal Medicine
330 = Dermatology
340 = Respiratory Medicine
350 = Infectious Diseases
352 = Tropical Medicine
360 = Genitourinary Medicine
361 = Renal Medicine
370 = Medical Oncology
371 = Nuclear Medicine
400 = Neurology
401 = Clinical Neurophysiology
410 = Rheumatology
420 = Paediatrics
421 = Paediatric Neurology
430 = Geriatric Medicine
450 = Dental Medicine
451 = Special Care Dentistry
501 = Obstetrics
502 = Gynaecology
504 = Community Sexual and Reproductive Health
510 = Antenatal Clinic (Retired 1 April 2004)
520 = Postnatal Clinic (Retired 1 April 2004)
560 = Midwifery
600 = General Medical Practice
601 = General Dental Practice
610 = Maternity Function (Retired 1 April 2004)
620 = Other than Maternity (Retired 1 April 2004)
700 = Learning Disability
710 = Adult Mental Illness
711 = Child and Adolescent Psychiatry
712 = Forensic Psychiatry
713 = Medical Psychotherapy
715 = Old Age Psychiatry
800 = Clinical Oncology
810 = Radiology
820 = General Pathology
821 = Blood Transfusion
822 = Chemical Pathology
823 = Haematology
824 = Histopathology
830 = Immunopathology
831 = Medical Microbiology and Virology
832 = Neuropathology (Retired 1 April 2004)
833 = Medical Microbiology
834 = Medical Virology
900 = Community Medicine
901 = Occupational Medicine
902 = Community Health Services Dental
903 = Public Health Medicine
904 = Public Health Dental
950 = Nursing
960 = Allied Health Professional
990 = Joint Consultant Clinics (Retired 1 April 2004)
199 = Non-UK Provider - Specialty Function Not Known, Treatment Mainly Surgical
460 = Medical Ophthalmology
499 = Non-UK Provider - Specialty Function Not Known, Treatment Mainly Medical
Null  = Other Maternity Event
&  = Not Known","RULE_0090, 
RULE_0320,
RULE_0350",NA,NA
"MARSTAT","Marital Status (Psychiatric)","String(1)","The patient's marital status where the consultant's specialty (MAINSPEF) is one of the psychiatric specialties.  Although the numerical codes were retired on 1/10/2006, these  continued to flow until March 2009 so both sets of codes are seen until this date.","From 1/10/2006 onwards: 
S = Single  
M = Married/Civil Partner  
D = Divorced/Person whose Civil Partnership has been dissolved  
W = Widowed/Surviving Civil Partner  
P = Separated  
N = Not disclosed.  
8 = Not applicable
9 = Not known

Prior to 1/10/2006: 
1 = Single 
2 = Married, including separated  
3 = Divorced  
4 = Widowed 
8 = Not applicable
9 = Not known","RULE_0355",NA,NA
"MATAGE","Mother’s Age at Delivery","Number","The mother's age, in completed years, on the date of delivery. This field is derived in HES from the mother's date of birth and the first baby's date of birth.

This field is populated on delivery and birth episodes and events only (where the EPITYPE is 2,3,5 or 6).","nnn = Age in years  
Null = Not valid",NA,"RULE_0810","Y"
"MATERNITY_EPISODE_TYPE","Episode Type - Maternity","String(2)","Determines if an episode is maternity related.","1 = Finished delivery episode
2 = Finished birth episode
3 = Finished other delivery episode
4 = Finished other birth episode
9 = Unfinished maternity episodes
99 = All other episodes",NA,"RULE_8011",NA
"MENTCAT","Mental Category","String(1)","The mental categories of a patient in accordance with the designations in the Mental Health Act 1983. A patient should be included in only one mental category. If a patient has been assigned to more than one mental category, mental illness takes precedence over the others, and mental impairment or severe mental impairment takes precedence over psychopathic disorder.

This field is only present on records for detained and/or long-term psychiatric census patients (episode type = 4).","1 = Mental illness  
2 = Mental impairment  
3 = Severe mental impairment  
4 = Psychopathic disorder  
5 = Not specified (from 1995-96)  
8 = Not applicable  
9 = Not known",NA,NA,NA
"MOTDOB","Date of Birth (Mother)","Date(YYYY-MM-DD)","The mother's date of birth. It appears on birth records.","YYYY-MM-DD = Mother's date of birth","RULE_0690",NA,"Y"
"MSOA01","Middle Super Output Area of Residence 2001","String(9)","The 2001 Census Middle Layer Super Output Area (MSOA) code for England and Wales and Intermediate Zone for Scotland. Pseudo codes are included for Northern Ireland, Channel Islands and Isle of Man. The field will otherwise be blank for postcodes with no grid reference. The first character is either E for England or W for Wales. The next two characters are 02 for Middle Layer and the remaining six characters make up the unique 6-digit tag for each zone. 

This field is derived in HES from the patient's postcode (HOMEADD).","9an = Middle Super Output Area  
E02000001- E02006781 = England
W02000001- W02000413 = Wales
S02000001 - S02001235 = Scotland
N99999999 (pseudo) = Northern Ireland
L99999999 (pseudo) = Channel Islands
M99999999 (pseudo) = Isle of Man
Z99999999 = Not known","RULE_1200",NA,NA
"MSOA11","Middle Super Output Area of Residence 2011","String(9)","The 2011 Census Middle Layer Super Output Area (MSOA) code for England and Wales and Intermediate Zone for Scotland. Pseudo codes are included for Northern Ireland, Channel Islands and Isle of Man. The field will otherwise be blank for postcodes with no grid reference. N.B. this field remains blank for Scottish postcodes until this information is released. The first character is either E for England or W for Wales. The next two characters are 02 for Middle Layer and the remaining six characters make up the unique 6-digit tag for each zone.

This field is derived in HES from the patient's postcode (HOMEADD).","9an = Middle Super Output Area  
E02000001- E02006934 = England
W02000001- W02000423 = Wales
S02001236 - S02002514 = Scotland
N99999999 (pseudo) = Northern Ireland
L99999999 (pseudo) = Channel Islands
M99999999 (pseudo) = Isle of Man
Z99999999 = Not known","RULE_1200",NA,NA
"MYDOB","Date of Birth - Month and Year","String(6)","Month and year of date of birth only.  Day is not made available.","MMYYYY = Date of birth month and year",NA,NA,NA
"NEOCARE","Neonatal Level of Care","String(1)","A code that defines the level of care given to a newborn child (28 days of age and under). For patients over 28 days old, default code '8' would apply. (Along with psychiatric patient status (ADMISTAT), this field replaced the V code indicator (VIND) field in 1996).","0 = Normal care: care given by the mother or mother substitute, with medical and neonatal nursing advice if needed  
1 = Special care: care given in a special nursery, transitional care ward or postnatal ward, which provides care and treatment exceeding normal routine care. Some aspects of special care can be undertaken by a mother supervised by qualified nursing staff. Special nursing care includes support for and education of the infant's parents  
2 = Level 2 intensive care (high dependency intensive care): care given in an intensive or special care nursery, which provides continuous skilled supervision by qualified and specially trained nursing staff who may care for more babies than in level 1 intensive care. Care includes support for the infant's parents  
3 = Level 1 intensive care (maximal intensive care): care given in an intensive or special care nursery, which provides continuous skilled supervision by qualified and specially trained nursing and medical staff. Care includes support for the infant's parents  
8 = Not applicable: the episode of care does not involve a neonate at any time  
9 = Not known: the episode of care involves a neonate and is finished but no data has been entered this constitutes a validation error. Alternatively the episode involves a neonate but is unfinished, therefore no data need be present","RULE_0360,
RULE_0370",NA,"Y"
"NEODUR","Age of Baby In Days","Number","The age in days of a baby admitted as a patient. It is derived from the Admission Date (ADMIDATE) and Date of Birth (DOB). If the baby is older than 27 days, NEODUR is not calculated.","2n = Age of patient in days from 0 to 27  
Null = Not applicable: other maternity event (EPITYPE is 5 or 6) or patient is older than 27 days",NA,"RULE_0300",NA
"NEWNHSNO","NHS Number","String(10)","The NHS number of the patient, which is the primary identifier of a person registered for health care; it is unique. Prior to 2003, records for babies under six weeks of age tend to have this field null.","10n = NHS number",NA,NA,NA
"NEWNHSNO_CHECK","NHS Number Check Flag","String(1)","Indicates whether the format of the NHS number supplied in the field NEWNHSNO is valid or not. The NHS number is 10 numeric digits in length. The tenth digit is a check digit used to confirm its validity. The check digit is validated using the modulus 11 algorithm.

The format of an NHS number is considered to be valid if it meets the following criteria:   
- it is 10 digits long
- not every digit is the same
- it is not the dummy/default value 2333455667
- it is not in the format N00000000N (where the first and last digits are the same and the rest are zeros)
- the modulus 11 check digit is correct.","Y = The format of the NEWNHSNO is valid
N = The format of the NEWNHSNO is not valid
Null = NEWNHSNO is null",NA,"RULE_9012","Y"
"NHSNOIND","NHS Number Status Indicator","String(2)","A code to indicate whether the patient's NHS number is present in the field NEWNHSNO, and if it is verified. If the NHS number is absent, the indicator gives the reason why.","01 = Number present and verified 
02 = Number present but not traced 
03 = Trace required
04 = Trace attempted - No match or multiple match found 
05 = Trace needs to be resolved - (New NHS number or patient detail conflict) 
06 = Trace in progress 
07 = Number not present and trace not required 
08 = Trace postponed (baby under six weeks old)
91 = Anonymised or pseudonymised by SUS",NA,NA,NA
"NUMACP","Number of Valid Augmented Care Period Groups","Number","The number of valid Augmented Care Period (ACP) groups on the episode. A valid ACP group is defined as one that scores an ACPDQIND value of at least 'real', or has at least 3 other ACP fields that contain valid values. If 9 valid ACP groups are found, NUMACP is set to the highest value of ACPN. This is because, for each episode, the HES system holds data for the most recent 9 ACP groups only. 

This field will only be populated on records where a period of augmented care occurred. The augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.","n = Number of augmented care periods within the episode",NA,NA,NA
"NUMBABY","Number of Babies","String(1)","The number of babies delivered at the end of a single pregnancy. Both live and stillborn babies are counted. Until 2002-03, a maximum of 6 babies could be recorded in HES.

This field is submitted by the provider. For delivery episodes only, an alternative derivation can be found in the field NUMTAILB, which counts the number of babies actually populated against the episode. 

This field is populated on delivery and birth episodes and events only (where the EPITYPE is 2,3,5 or 6).","1 = One  
2 = Two  
3 = Three  
4 = Four  
5 = Five  
6 = Six or more  
9 = Not known (submitted value)  
X = Not known (derived in HES where the field is null)","RULE_0710,
RULE_0750",NA,NA
"NUMPREG","Number of Previous Pregnancies","String(2)","The number of previous pregnancies that resulted in a registrable birth (live or still born). 

This field is populated on delivery episodes and events only (where the EPITYPE is 2 or 5).","2n = Number of previous pregnancies, from 00 to 19, resulting in a registrable birth  
99 = Not known","RULE_0750",NA,NA
"NUMTAILB","Number of Baby Tails","Number","Delivery episodes are submitted with one group (tail) of data per baby (e.g. with twins, two tails of baby data will be submitted on the record - these tails include fields such as BIRWEIT and DELMETH and each tail of data is specific to one baby). NUMTAILB is derived in HES and represents the number of valid tails of baby data present on the delivery episode. A valid baby tail is defined as one that has a valid birthweight and a valid delivery method. If no valid baby tail is present on the delivery episode, this field defaults to 1. This field is an alternative to the submitted field NUMBABY, and is populated on delivery episodes and events only (where the EPITYPE is 2 or 5).","1n = Number of valid birth tails associated with a delivery record",NA,"RULE_0770",NA
"OACODE01","Census Output Area 2001","String(10)","Census output areas are small geographical areas that cover similar population sizes and are as socially homogenous as possible. This derived field represents the 2001 census output area code associated with the patient's postcode (HOMEADD). Note that this field uses old-style codes from the pre-January 2011 ONS geographical coding system. The structure is CCDDWWAAAA, where CC = county, DD = district or unitary authority, WW=ward, and AAAA = output area.","10an = 2001 Census Output Area
Y = not known","RULE_1200",NA,NA
"OACODE11","Census Output Area 2011","String(9)","Census Output Areas are small geographical areas that cover similar population sizes and are as socially homogenous as possible. This derived field represents the 2011 Census Output Area code associated with the patient's postcode (HOMEADD). Pseudo codes are included for Channel Islands and Isle of Man. The field will otherwise be blank for postcodes with no grid reference.","9an = 2011 Census Output Area
E00000001 - E00176774 = England;
W00000001 - W00010265 = Wales;
S00088956 - S00135306 = Scotland;
N00000001 - N00004537 = Northern Ireland;
L99999999 (pseudo) = Channel Islands;
M99999999 (pseudo) = Isle of Man;
Y = not known","RULE_1200",NA,NA
"OACODE6","Census Output Area 2001 (Ward Identifier)","String(6)","The first six-characters from the Census Output Area 2001 (OACODE01) field, which identifies the local government ward of the patient's postcode. The structure is CCDDWW, where CC = county, DD = district or unitary authority, and WW=ward.","6an = 2001 census output area ward identifier code
Y = not known","RULE_1200",NA,NA
"OPDATE_nn","Date of Procedure","Date(YYYY-MM-DD)","The date of the procedure recorded in the respectively numbered Procedure Code (OPERTN_nn) field.","YYYY-MM-DD = Date of procedure
1800-01-01 = Null
1801-01-01 = Invalid date submitted","RULE_0480, 
RULE_0610,
RULE_0620",NA,"Y"
"OPER_SEQ","Procedure Code Sequence","Number","This field is populated in the unpivoted procedures table, and allows users to identify the position of the OPERTN_CODE and OPERTN_DATE on the record","n = Procedure code sequence number",NA,NA,NA
"OPERSTAT","Operation Status Code","String(1)","Status of operative procedures","1 = One or more operative procedures carried out
8 = No operative procedures performed or intended
9 = Not known, i.e. finished episode but no data entered or the episode is unfinished and no data needs to be present (this would only be a validation error for a finished episode).",NA,NA,NA
"OPERTN_3_CONCAT","Concatenated Procedure Codes - 3 Character","String(100)","A concatenated string of all 3 character procedures (OPERTN_3_nn) from the record, separated by commas with no spaces. This enables the user to search across the full list of procedures to look at mentions and pairs of procedure codes.","Concatenated string of OPERTN_3_nn separated by commas","RULE_8100",NA,NA
"OPERTN_3_nn","Procedure Code - 3 Character","String(3)","The first three characters of the procedure code (OPERTN_nn).","3an = Procedure code
- = No operation performed
& = Not known",NA,NA,NA
"OPERTN_4_CONCAT","Concatenated Procedure Codes - 4 Character","String(130)","A concatenated string of all 4 character procedures (OPERTN_4_nn) from the record, separated by commas with no spaces. This enables the user to search across the full list of procedures to look at mentions and pairs of procedure codes.","Concatenated string of OPERTN_4_nn separated by commas","RULE_8100",NA,NA
"OPERTN_4_nn","Procedure Code - 4 Character","String(4)","The first four characters of the procedure code (OPERTN_nn).","4an = Procedure code
- = No operation performed
& = Not known",NA,NA,NA
"OPERTN_CODE","Procedure Code (Unpivoted)","String(4)","This field is present in the unpivoted procedures table (where all procedure codes from the record appear in a single column rather than over 24 separate columns). The unpivoted table is provided as an alternative to the OPERTN_4_nn  fields for users who wish to carry out their analysis across multiple procedure code fields, e.g. from OPERTN_4_01 to OPERTN_4_24.

This field contains exactly the same data as OPERTN_4_nn. The position of the procedure on the record can be identified using the OPER_SEQ field (e.g. the OPERTN_CODE where OPER_SEQ = 1 will be the same as the code in the field OPERTN_4_01).","4an = Procedure code
- = No operation performed
& = Not known",NA,NA,"Y"
"OPERTN_COUNT","Count of Procedures","Number","The total number of procedure codes present on the record (maximum of 24)","2n = Count of procedures","RULE_8100",NA,NA
"OPERTN_DATE","Date of Procedure","Date(YYYY-MM-DD)","The date of the procedure recorded in the OPERTN_CODE field. 

This field is present in the unpivoted procedures table (where all procedure dates from the record appear in a single column rather than over 24 separate columns). It contains exactly the same data as OPDATE_nn. The position of the procedure date on the record can be identified using the OPER_SEQ field (e.g. the OPERTN_DATE where OPER_SEQ = 1 will be the same as the code in the field OPDATE_01).","YYYY-MM-DD = Date of procedure
1800-01-01 = Null
1801-01-01 = Invalid date submitted",NA,NA,NA
"OPERTN_nn","Procedure Code","String(4)","There are twenty-four procedure fields (twelve before April 2007), OPERTN_01 to OPERTN_24, which contain information about a patient's procedures. The field OPERTN_01 contains the main (i.e. most resource intensive) procedure. The other fields contain secondary procedures. The codes are defined in the Tabular List of the Classification of Surgical Operations and Procedures. The current version is OPCS-4. Procedure codes start with a letter and are followed by two or three digits. The third digit identifies variations on a main procedure code containing two digits. The third digit is preceded by a full stop in OPCS-4, but this is not stored in this field. A single operation may contain more than one procedure.","4an = Procedure code  
- = No procedures performed  
& = Not known  
X998 = Procedure carried out but no appropriate OPCS-4 code available (submitted value present between 1997-98 and 2005-07)
X999 = No procedure carried out (submitted value present between 1997-98 and 2001-02)","RULE_0450, 
RULE_0540,  RULE_0550, 
RULE_0560,",NA,"Y"
"ORGSUP_n","Number of Organ Systems Supported","Number","The number of organ support systems used (up to five) during a period of augmented care.

This field will only be populated on records where a period of augmented care occurred. The augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.","n = Number of organ systems supported in the range 0 to 5
98 = Not applicable: augmented care period not finished
99 = Not known: a validation error",NA,NA,NA
"PARTYEAR","HES Extract Year and Number","Number","The data year (first four digits) and the extract number (final two digits). HES data years span calendar years (they run from 1st April to 31st March). In the PARTYEAR field, the year represents the lower year from the date span, e.g. for 2016-17 the year will appear in this field as 2016 on all records within that data year.

HES extracts are currently taken once per month, with each extract superseding the previous one for that year. For example, a PARTYEAR of 201601 indicates that the data came from the first HES extract to be taken in the 2016-17 data year (April 2016 data only); 201602 is the second extract of 2016-17 (April and May 2016 data only, extracted a month later than the previous extract), etc. 

Where the PARTYEAR ends in 99, this indicates the final HES data set for that year - no further extracts of HES data for that year will be taken, and this data will not change. Where the PARTYEAR does not end in 99, this indicates that the data is provisional and is subject to change with subsequent extracts. Provisional extract numbers generally run from 01 (the first extract of the year) to 13 (the final extract of the year). 99 represents the final data set of the year, which is based on the month 13 extract with additional manual changes made to correct known issues or errors in the data.","YYYYnn = HES year and extract number",NA,NA,NA
