Chapter_number,Chapter_description,Short_code_three,Cause_description
16,Certain conditions originating in the perinatal period,P71,Transitory neonatal disorders of calcium and magnesium metabolism
16,Certain conditions originating in the perinatal period,P72,Other transitory neonatal endocrine disorders
16,Certain conditions originating in the perinatal period,P74,Other transitory neonatal electrolyte and metabolic disturbances
16,Certain conditions originating in the perinatal period,P75,Meconium ileus in cystic fibrosis
16,Certain conditions originating in the perinatal period,P76,Other intestinal obstruction of newborn
16,Certain conditions originating in the perinatal period,P77,Necrotizing enterocolitis of fetus and newborn
16,Certain conditions originating in the perinatal period,P78,Other perinatal digestive system disorders
16,Certain conditions originating in the perinatal period,P80,Hypothermia of newborn
16,Certain conditions originating in the perinatal period,P81,Other disturbances of temperature regulation of newborn
16,Certain conditions originating in the perinatal period,P83,Other conditions of integument specific to fetus and newborn
16,Certain conditions originating in the perinatal period,P90,Convulsions of newborn
16,Certain conditions originating in the perinatal period,P91,Other disturbances of cerebral status of newborn
16,Certain conditions originating in the perinatal period,P92,Feeding problems of newborn
16,Certain conditions originating in the perinatal period,P93,Reactions and intoxications due to drugs administered to fetus and newborn
16,Certain conditions originating in the perinatal period,P94,Disorders of muscle tone of newborn
16,Certain conditions originating in the perinatal period,P95,Fetal death of unspecified cause
16,Certain conditions originating in the perinatal period,P96,Other conditions originating in the perinatal period
17,"Congenital malformations, deformations and chromosomal abnormalities",Q00,Anencephaly and similar malformations
17,"Congenital malformations, deformations and chromosomal abnormalities",Q01,Encephalocele
17,"Congenital malformations, deformations and chromosomal abnormalities",Q02,Microcephaly
17,"Congenital malformations, deformations and chromosomal abnormalities",Q03,Congenital hydrocephalus
17,"Congenital malformations, deformations and chromosomal abnormalities",Q04,Other congenital malformations of brain
17,"Congenital malformations, deformations and chromosomal abnormalities",Q05,Spina bifida
17,"Congenital malformations, deformations and chromosomal abnormalities",Q06,Other congenital malformations of spinal cord
17,"Congenital malformations, deformations and chromosomal abnormalities",Q07,Other congenital malformations of nervous system
17,"Congenital malformations, deformations and chromosomal abnormalities",Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q11,"Anophthalmos, microphthalmos and macrophthalmos"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q12,Congenital lens malformations
17,"Congenital malformations, deformations and chromosomal abnormalities",Q13,Congenital malformations of anterior segment of eye
17,"Congenital malformations, deformations and chromosomal abnormalities",Q14,Congenital malformations of posterior segment of eye
17,"Congenital malformations, deformations and chromosomal abnormalities",Q15,Other congenital malformations of eye
17,"Congenital malformations, deformations and chromosomal abnormalities",Q16,Congenital malformations of ear causing impairment of hearing
17,"Congenital malformations, deformations and chromosomal abnormalities",Q17,Other congenital malformations of ear
17,"Congenital malformations, deformations and chromosomal abnormalities",Q18,Other congenital malformations of face and neck
17,"Congenital malformations, deformations and chromosomal abnormalities",Q20,Congenital malformations of cardiac chambers and connections
17,"Congenital malformations, deformations and chromosomal abnormalities",Q21,Congenital malformations of cardiac septa
17,"Congenital malformations, deformations and chromosomal abnormalities",Q22,Congenital malformations of pulmonary and tricuspid valves
17,"Congenital malformations, deformations and chromosomal abnormalities",Q23,Congenital malformations of aortic and mitral valves
17,"Congenital malformations, deformations and chromosomal abnormalities",Q24,Other congenital malformations of heart
17,"Congenital malformations, deformations and chromosomal abnormalities",Q25,Congenital malformations of great arteries
17,"Congenital malformations, deformations and chromosomal abnormalities",Q26,Congenital malformations of great veins
17,"Congenital malformations, deformations and chromosomal abnormalities",Q27,Other congenital malformations of peripheral vascular system
17,"Congenital malformations, deformations and chromosomal abnormalities",Q28,Other congenital malformations of circulatory system
17,"Congenital malformations, deformations and chromosomal abnormalities",Q30,Congenital malformations of nose
17,"Congenital malformations, deformations and chromosomal abnormalities",Q31,Congenital malformations of larynx
17,"Congenital malformations, deformations and chromosomal abnormalities",Q32,Congenital malformations of trachea and bronchus
17,"Congenital malformations, deformations and chromosomal abnormalities",Q33,Congenital malformations of lung
17,"Congenital malformations, deformations and chromosomal abnormalities",Q34,Other congenital malformations of respiratory system
17,"Congenital malformations, deformations and chromosomal abnormalities",Q35,Cleft palate
17,"Congenital malformations, deformations and chromosomal abnormalities",Q36,Cleft lip
17,"Congenital malformations, deformations and chromosomal abnormalities",Q37,Cleft palate with cleft lip
17,"Congenital malformations, deformations and chromosomal abnormalities",Q38,"Other congenital malformations of tongue, mouth and pharynx"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q39,Congenital malformations of oesophagus
17,"Congenital malformations, deformations and chromosomal abnormalities",Q40,Other congenital malformations of upper alimentary tract
17,"Congenital malformations, deformations and chromosomal abnormalities",Q41,"Congenital absence, atresia and stenosis of small intestine"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q42,"Congenital absence, atresia and stenosis of large intestine"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q43,Other congenital malformations of intestine
17,"Congenital malformations, deformations and chromosomal abnormalities",Q44,"Congenital malformations of gallbladder, bile ducts and liver"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q45,Other congenital malformations of digestive system
17,"Congenital malformations, deformations and chromosomal abnormalities",Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligaments"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q51,Congenital malformations of uterus and cervix
17,"Congenital malformations, deformations and chromosomal abnormalities",Q52,Other congenital malformations of female genitalia
17,"Congenital malformations, deformations and chromosomal abnormalities",Q53,Undescended testicle
17,"Congenital malformations, deformations and chromosomal abnormalities",Q54,Hypospadias
17,"Congenital malformations, deformations and chromosomal abnormalities",Q55,Other congenital malformations of male genital organs
17,"Congenital malformations, deformations and chromosomal abnormalities",Q56,Indeterminate sex and pseudohermaphroditism
17,"Congenital malformations, deformations and chromosomal abnormalities",Q60,Renal agenesis and other reduction defects of kidney
17,"Congenital malformations, deformations and chromosomal abnormalities",Q61,Cystic kidney disease
17,"Congenital malformations, deformations and chromosomal abnormalities",Q62,Congenital obstructive defects of renal pelvis and congenital malformations of ureter
17,"Congenital malformations, deformations and chromosomal abnormalities",Q63,Other congenital malformations of kidney
17,"Congenital malformations, deformations and chromosomal abnormalities",Q64,Other congenital malformations of urinary system
17,"Congenital malformations, deformations and chromosomal abnormalities",Q65,Congenital deformities of hip
17,"Congenital malformations, deformations and chromosomal abnormalities",Q66,Congenital deformities of feet
17,"Congenital malformations, deformations and chromosomal abnormalities",Q67,"Congenital musculoskeletal deformities of head, face, spine and chest"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q68,Other congenital musculoskeletal deformities
17,"Congenital malformations, deformations and chromosomal abnormalities",Q69,Polydactyly
17,"Congenital malformations, deformations and chromosomal abnormalities",Q70,Syndactyly
17,"Congenital malformations, deformations and chromosomal abnormalities",Q71,Reduction defects of upper limb
17,"Congenital malformations, deformations and chromosomal abnormalities",Q72,Reduction defects of lower limb
17,"Congenital malformations, deformations and chromosomal abnormalities",Q73,Reduction defects of unspecified limb
17,"Congenital malformations, deformations and chromosomal abnormalities",Q74,Other congenital malformations of limb(s)
17,"Congenital malformations, deformations and chromosomal abnormalities",Q75,Other congenital malformations of skull and face bones
17,"Congenital malformations, deformations and chromosomal abnormalities",Q76,Congenital malformations of spine and bony thorax
17,"Congenital malformations, deformations and chromosomal abnormalities",Q77,Osteochondrodysplasia with defects of growth of tubular bones and spine
17,"Congenital malformations, deformations and chromosomal abnormalities",Q78,Other osteochondrodysplasias
17,"Congenital malformations, deformations and chromosomal abnormalities",Q79,"Congenital malformations of the musculoskeletal system, not elsewhere classified"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q80,Congenital ichthyosis
17,"Congenital malformations, deformations and chromosomal abnormalities",Q81,Epidermolysis bullosa
17,"Congenital malformations, deformations and chromosomal abnormalities",Q82,Other congenital malformations of skin
17,"Congenital malformations, deformations and chromosomal abnormalities",Q83,Congenital malformations of breast
17,"Congenital malformations, deformations and chromosomal abnormalities",Q84,Other congenital malformations of integument
17,"Congenital malformations, deformations and chromosomal abnormalities",Q85,"Phakomatoses, not elsewhere classified"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q86,"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q87,Other specified congenital malformation syndromes affecting multiple systems
17,"Congenital malformations, deformations and chromosomal abnormalities",Q89,"Other congenital malformations, not elsewhere classified"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q90,Down syndrome
17,"Congenital malformations, deformations and chromosomal abnormalities",Q91,Edwards' syndrome and Patau syndrome
17,"Congenital malformations, deformations and chromosomal abnormalities",Q92,"Other trisomies and partial trisomies of the autosomes, not elsewhere classified"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q93,"Monosomies and deletions from the autosomes, not elsewhere classified"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q95,"Balanced rearrangements and structural markers, not elsewhere classified"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q96,Turner syndrome
17,"Congenital malformations, deformations and chromosomal abnormalities",Q97,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q98,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified"
17,"Congenital malformations, deformations and chromosomal abnormalities",Q99,"Other chromosome abnormalities, not elsewhere classified"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00,Abnormalities of heart beat
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R01,Cardiac murmurs and other cardiac sounds
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R02,"Gangrene, not elsewhere classified"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R03,"Abnormal blood-pressure reading, without diagnosis"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R04,Haemorrhage from respiratory passages
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R05,Cough
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R06,Abnormalities of breathing
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R07,Pain in throat and chest
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R09,Other symptoms and signs involving the circulatory and respiratory systems
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R10,Abdominal and pelvic pain
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R11,Nausea and vomiting
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R12,Heartburn
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R13,Dysphagia
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R14,Flatulence and related conditions
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R15,Faecal incontinence
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R16,"Hepatomegaly and splenomegaly, not elsewhere classified"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R17,Unspecified jaundice
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R18,Ascites
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R19,Other symptoms and signs involving the digestive system and abdomen
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R20,Disturbances of skin sensation
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R21,Rash and other nonspecific skin eruption
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R22,"Localized swelling, mass and lump of skin and subcutaneous tissue"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R23,Other skin changes
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R25,Abnormal involuntary movements
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R26,Abnormalities of gait and mobility
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R27,Other lack of coordination
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R29,Other symptoms and signs involving the nervous and musculoskeletal systems
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R30,Pain associated with micturition
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R31,Unspecified haematuria
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R32,Unspecified urinary incontinence
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R33,Retention of urine
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R34,Anuria and oliguria
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R35,Polyuria
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R36,Urethral discharge
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R39,Other symptoms and signs involving the urinary system
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R40,"Somnolence, stupor and coma"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R41,Other symptoms and signs involving cognitive functions and awareness
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R42,Dizziness and giddiness
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R43,Disturbances of smell and taste
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R44,Other symptoms and signs involving general sensations and perceptions
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R45,Symptoms and signs involving emotional state
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R46,Symptoms and signs involving appearance and behaviour
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R47,"Speech disturbances, not elsewhere classified"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R48,"Dyslexia and other symbolic dysfunctions, not elsewhere classified"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R49,Voice disturbances
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50,Fever of other and unknown origin
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R51,Headache
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R52,"Pain, not elsewhere classified"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R53,Malaise and fatigue
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R54,Senility
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R55,Syncope and collapse
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R56,"Convulsions, not elsewhere classified"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R57,"Shock, not elsewhere classified"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R58,"Haemorrhage, not elsewhere classified"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R59,Enlarged lymph nodes
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R60,"Oedema, not elsewhere classified"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R61,Hyperhidrosis
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R62,Lack of expected normal physiological development
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R63,Symptoms and signs concerning food and fluid intake
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R64,Cachexia
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R65,Systemic Inflammatory Response Syndrome [SIRS]
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R68,Other general symptoms and signs
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R69,Unknown and unspecified causes of morbidity
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R70,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R71,Abnormality of red blood cells
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R72,"Abnormality of white blood cells, not elsewhere classified"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R73,Elevated blood glucose level
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R74,Abnormal serum enzyme levels
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R75,Laboratory evidence of human immunodeficiency virus [HIV]
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R76,Other abnormal immunological findings in serum
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R77,Other abnormalities of plasma proteins
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R78,"Findings of drugs and other substances, not normally found in blood"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R79,Other abnormal findings of blood chemistry
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R80,Isolated proteinuria
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R81,Glycosuria
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R82,Other abnormal findings in urine
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R83,Abnormal findings in cerebrospinal fluid
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R84,Abnormal findings in specimens from respiratory organs and thorax
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R85,Abnormal findings in specimens from digestive organs and abdominal cavity
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R86,Abnormal findings in specimens from male genital organs
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R87,Abnormal findings in specimens from female genital organs
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R89,"Abnormal findings in specimens from other organs, systems and tissues"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R90,Abnormal findings on diagnostic imaging of central nervous system
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R91,Abnormal findings on diagnostic imaging of lung
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R92,Abnormal findings on diagnostic imaging of breast
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R93,Abnormal findings on diagnostic imaging of other body structures
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R94,Abnormal results of function studies
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R95,Sudden infant death syndrome
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R96,"Other sudden death, cause unknown"
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R98,Unattended death
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R99,Other ill-defined and unspecified causes of mortality
19,"Injury, poisoning and certain other consequences of external causes",S00,Superficial injury of head
19,"Injury, poisoning and certain other consequences of external causes",S01,Open wound of head
19,"Injury, poisoning and certain other consequences of external causes",S02,Fracture of skull and facial bones
19,"Injury, poisoning and certain other consequences of external causes",S03,"Dislocation, sprain and strain of joints and ligaments of head"
19,"Injury, poisoning and certain other consequences of external causes",S04,Injury of cranial nerves
19,"Injury, poisoning and certain other consequences of external causes",S05,Injury of eye and orbit
19,"Injury, poisoning and certain other consequences of external causes",S06,Intracranial injury
19,"Injury, poisoning and certain other consequences of external causes",S07,Crushing injury of head
19,"Injury, poisoning and certain other consequences of external causes",S08,Traumatic amputation of part of head
19,"Injury, poisoning and certain other consequences of external causes",S09,Other and unspecified injuries of head
19,"Injury, poisoning and certain other consequences of external causes",S10,Superficial injury of neck
19,"Injury, poisoning and certain other consequences of external causes",S11,Open wound of neck
19,"Injury, poisoning and certain other consequences of external causes",S12,Fracture of neck
19,"Injury, poisoning and certain other consequences of external causes",S13,"Dislocation, sprain and strain of joints and ligaments at neck level"
19,"Injury, poisoning and certain other consequences of external causes",S14,Injury of nerves and spinal cord at neck level
19,"Injury, poisoning and certain other consequences of external causes",S15,Injury of blood vessels at neck level
19,"Injury, poisoning and certain other consequences of external causes",S16,Injury of muscle and tendon at neck level
19,"Injury, poisoning and certain other consequences of external causes",S17,Crushing injury of neck
19,"Injury, poisoning and certain other consequences of external causes",S18,Traumatic amputation at neck level
19,"Injury, poisoning and certain other consequences of external causes",S19,Other and unspecified injuries of neck
19,"Injury, poisoning and certain other consequences of external causes",S20,Superficial injury of thorax
19,"Injury, poisoning and certain other consequences of external causes",S21,Open wound of thorax
19,"Injury, poisoning and certain other consequences of external causes",S22,"Fracture of rib(s), sternum and thoracic spine"
19,"Injury, poisoning and certain other consequences of external causes",S23,"Dislocation, sprain and strain of joints and ligaments of thorax"
19,"Injury, poisoning and certain other consequences of external causes",S24,Injury of nerves and spinal cord at thorax level
19,"Injury, poisoning and certain other consequences of external causes",S25,Injury of blood vessels of thorax
19,"Injury, poisoning and certain other consequences of external causes",S26,Injury of heart
19,"Injury, poisoning and certain other consequences of external causes",S27,Injury of other and unspecified intrathoracic organs
19,"Injury, poisoning and certain other consequences of external causes",S28,Crushing injury of thorax and traumatic amputation of part of thorax
19,"Injury, poisoning and certain other consequences of external causes",S29,Other and unspecified injuries of thorax
19,"Injury, poisoning and certain other consequences of external causes",S30,"Superficial injury of abdomen, lower back and pelvis"
19,"Injury, poisoning and certain other consequences of external causes",S31,"Open wound of abdomen, lower back and pelvis"
19,"Injury, poisoning and certain other consequences of external causes",S32,Fracture of lumbar spine and pelvis
19,"Injury, poisoning and certain other consequences of external causes",S33,"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis"
19,"Injury, poisoning and certain other consequences of external causes",S34,"Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level"
19,"Injury, poisoning and certain other consequences of external causes",S35,"Injury of blood vessels at abdomen, lower back and pelvis level"
19,"Injury, poisoning and certain other consequences of external causes",S36,Injury of intra-abdominal organs
19,"Injury, poisoning and certain other consequences of external causes",S37,Injury of urinary and pelvic organs
19,"Injury, poisoning and certain other consequences of external causes",S38,"Crushing injury and traumatic amputation of part of abdomen, lower back and pelvis"
19,"Injury, poisoning and certain other consequences of external causes",S39,"Other and unspecified injuries of abdomen, lower back and pelvis"
19,"Injury, poisoning and certain other consequences of external causes",S40,Superficial injury of shoulder and upper arm
19,"Injury, poisoning and certain other consequences of external causes",S41,Open wound of shoulder and upper arm
19,"Injury, poisoning and certain other consequences of external causes",S42,Fracture of shoulder and upper arm
19,"Injury, poisoning and certain other consequences of external causes",S43,"Dislocation, sprain and strain of joints and ligaments of shoulder girdle"
19,"Injury, poisoning and certain other consequences of external causes",S44,Injury of nerves at shoulder and upper arm level
19,"Injury, poisoning and certain other consequences of external causes",S45,Injury of blood vessels at shoulder and upper arm level
19,"Injury, poisoning and certain other consequences of external causes",S46,Injury of muscle and tendon at shoulder and upper arm level
19,"Injury, poisoning and certain other consequences of external causes",S47,Crushing injury of shoulder and upper arm
19,"Injury, poisoning and certain other consequences of external causes",S48,Traumatic amputation of shoulder and upper arm
19,"Injury, poisoning and certain other consequences of external causes",S49,Other and unspecified injuries of shoulder and upper arm
19,"Injury, poisoning and certain other consequences of external causes",S50,Superficial injury of forearm
19,"Injury, poisoning and certain other consequences of external causes",S51,Open wound of forearm
19,"Injury, poisoning and certain other consequences of external causes",S52,Fracture of forearm
19,"Injury, poisoning and certain other consequences of external causes",S53,"Dislocation, sprain and strain of joints and ligaments of elbow"
19,"Injury, poisoning and certain other consequences of external causes",S54,Injury of nerves at forearm level
19,"Injury, poisoning and certain other consequences of external causes",S55,Injury of blood vessels at forearm level
19,"Injury, poisoning and certain other consequences of external causes",S56,Injury of muscle and tendon at forearm level
19,"Injury, poisoning and certain other consequences of external causes",S57,Crushing injury of forearm
19,"Injury, poisoning and certain other consequences of external causes",S58,Traumatic amputation of forearm
19,"Injury, poisoning and certain other consequences of external causes",S59,Other and unspecified injuries of forearm
19,"Injury, poisoning and certain other consequences of external causes",S60,Superficial injury of wrist and hand
19,"Injury, poisoning and certain other consequences of external causes",S61,Open wound of wrist and hand
19,"Injury, poisoning and certain other consequences of external causes",S62,Fracture at wrist and hand level
19,"Injury, poisoning and certain other consequences of external causes",S63,"Dislocation, sprain and strain of joints and ligaments at wrist and hand level"
19,"Injury, poisoning and certain other consequences of external causes",S64,Injury of nerves at wrist and hand level
19,"Injury, poisoning and certain other consequences of external causes",S65,Injury of blood vessels at wrist and hand level
19,"Injury, poisoning and certain other consequences of external causes",S66,Injury of muscle and tendon at wrist and hand level
19,"Injury, poisoning and certain other consequences of external causes",S67,Crushing injury of wrist and hand
19,"Injury, poisoning and certain other consequences of external causes",S68,Traumatic amputation of wrist and hand
19,"Injury, poisoning and certain other consequences of external causes",S69,Other and unspecified injuries of wrist and hand
19,"Injury, poisoning and certain other consequences of external causes",S70,Superficial injury of hip and thigh
19,"Injury, poisoning and certain other consequences of external causes",S71,Open wound of hip and thigh
19,"Injury, poisoning and certain other consequences of external causes",S72,Fracture of femur
19,"Injury, poisoning and certain other consequences of external causes",S73,"Dislocation, sprain and strain of joint and ligaments of hip"
19,"Injury, poisoning and certain other consequences of external causes",S74,Injury of nerves at hip and thigh level
19,"Injury, poisoning and certain other consequences of external causes",S75,Injury of blood vessels at hip and thigh level
19,"Injury, poisoning and certain other consequences of external causes",S76,Injury of muscle and tendon at hip and thigh level
19,"Injury, poisoning and certain other consequences of external causes",S77,Crushing injury of hip and thigh
19,"Injury, poisoning and certain other consequences of external causes",S78,Traumatic amputation of hip and thigh
19,"Injury, poisoning and certain other consequences of external causes",S79,Other and unspecified injuries of hip and thigh
19,"Injury, poisoning and certain other consequences of external causes",S80,Superficial injury of lower leg
19,"Injury, poisoning and certain other consequences of external causes",S81,Open wound of lower leg
19,"Injury, poisoning and certain other consequences of external causes",S82,"Fracture of lower leg, including ankle"
19,"Injury, poisoning and certain other consequences of external causes",S83,"Dislocation, sprain and strain of joints and ligaments of knee"
19,"Injury, poisoning and certain other consequences of external causes",S84,Injury of nerves at lower leg level
19,"Injury, poisoning and certain other consequences of external causes",S85,Injury of blood vessels at lower leg level
19,"Injury, poisoning and certain other consequences of external causes",S86,Injury of muscle and tendon at lower leg level
19,"Injury, poisoning and certain other consequences of external causes",S87,Crushing injury of lower leg
19,"Injury, poisoning and certain other consequences of external causes",S88,Traumatic amputation of lower leg
19,"Injury, poisoning and certain other consequences of external causes",S89,Other and unspecified injuries of lower leg
19,"Injury, poisoning and certain other consequences of external causes",S90,Superficial injury of ankle and foot
19,"Injury, poisoning and certain other consequences of external causes",S91,Open wound of ankle and foot
19,"Injury, poisoning and certain other consequences of external causes",S92,"Fracture of foot, except ankle"
19,"Injury, poisoning and certain other consequences of external causes",S93,"Dislocation, sprain and strain of joints and ligaments at ankle and foot level"
19,"Injury, poisoning and certain other consequences of external causes",S94,Injury of nerves at ankle and foot level
19,"Injury, poisoning and certain other consequences of external causes",S95,Injury of blood vessels at ankle and foot level
19,"Injury, poisoning and certain other consequences of external causes",S96,Injury of muscle and tendon at ankle and foot level
19,"Injury, poisoning and certain other consequences of external causes",S97,Crushing injury of ankle and foot
19,"Injury, poisoning and certain other consequences of external causes",S98,Traumatic amputation of ankle and foot
19,"Injury, poisoning and certain other consequences of external causes",S99,Other and unspecified injuries of ankle and foot
19,"Injury, poisoning and certain other consequences of external causes",T00,Superficial injuries involving multiple body regions
19,"Injury, poisoning and certain other consequences of external causes",T01,Open wounds involving multiple body regions
19,"Injury, poisoning and certain other consequences of external causes",T02,Fractures involving multiple body regions
