Group,Condition_name,ICD10_Code,Sex,Age_group,Fraction
Unintenional injuries,Road/pedestrian traffic accidents,V567,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V567,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V567,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V567,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V567,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V567,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V568,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V568,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V568,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V568,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V568,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V568,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V568,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V568,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V568,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V568,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V568,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V568,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V568,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V568,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V568,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V568,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V569,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V569,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V569,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V569,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V569,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V569,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V569,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V569,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V569,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V569,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V569,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V569,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V569,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V569,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V569,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V569,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V574,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V574,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V574,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V574,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V574,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V574,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V574,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V574,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V574,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V574,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V574,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V574,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V574,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V574,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V574,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V574,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V575,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V575,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V575,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V575,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V575,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V575,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V575,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V575,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V575,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V575,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V575,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V575,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V575,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V575,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V575,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V575,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V576,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V576,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V576,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V576,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V576,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V576,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V576,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V576,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V576,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V576,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V576,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V576,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V576,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V576,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V576,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V576,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V577,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V577,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V577,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V577,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V577,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V577,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V577,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V577,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V577,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V577,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V577,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V577,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V577,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V577,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V577,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V577,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V578,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V578,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V578,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V578,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V578,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V578,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V578,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V578,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V578,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V578,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V578,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V578,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V578,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V578,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V578,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V578,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V579,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V579,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V579,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V579,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V579,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V579,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V579,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V579,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V579,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V579,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V579,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V579,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V579,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V579,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V579,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V579,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V584,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V584,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V584,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V584,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V584,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V584,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V584,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V584,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V584,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V584,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V584,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V584,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V584,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V584,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V584,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V584,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V585,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V585,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V585,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V585,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V585,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V585,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V585,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V585,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V585,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V585,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V585,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V585,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V585,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V585,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V585,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V585,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V586,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V586,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V586,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V586,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V586,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V586,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V586,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V586,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V586,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V586,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V586,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V586,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V586,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V586,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V586,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V586,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V587,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V587,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V587,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V587,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V587,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V587,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V587,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V587,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V587,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V587,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V587,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V587,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V587,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V587,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V587,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V587,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V588,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V588,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V588,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V588,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V588,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V588,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V588,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V588,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V588,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V588,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V588,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V588,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V588,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V588,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V588,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V588,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V589,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V589,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V589,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V589,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V589,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V589,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V589,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V589,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V589,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V589,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V589,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V589,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V589,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V589,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V589,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V589,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V594,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V594,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V594,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V594,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V594,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V594,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V594,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V594,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V594,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V594,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V594,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V594,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V594,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V594,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V594,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V594,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V595,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V595,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V595,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V595,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V595,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V595,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V595,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V595,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V595,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V595,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V595,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V595,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V595,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V595,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V595,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V595,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V596,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V596,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V596,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V596,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V596,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V596,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V596,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V596,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V596,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V596,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V596,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V596,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V596,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V596,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V596,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V596,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V597,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V597,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V597,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V597,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V597,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V597,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V597,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V597,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V597,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V597,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V597,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V597,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V597,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V597,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V597,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V597,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V598,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V598,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V598,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V598,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V598,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V598,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V598,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V598,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V598,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V598,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V598,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V598,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V598,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V598,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V598,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V598,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V599,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V599,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V599,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V599,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V599,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V599,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V599,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V599,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V599,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V599,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V599,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V599,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V599,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V599,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V599,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V599,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V604,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V604,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V604,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V604,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V604,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V604,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V604,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V604,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V604,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V604,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V604,Male,65-74 years,0.16
Unintenional injuries,Road/pedestrian traffic accidents,V604,Female,65-74 years,0.01
Unintenional injuries,Road/pedestrian traffic accidents,V604,Male,75-84 years,0.07
Unintenional injuries,Road/pedestrian traffic accidents,V604,Female,75-84 years,0
Unintenional injuries,Road/pedestrian traffic accidents,V604,Male,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V604,Female,85 and over,0
Unintenional injuries,Road/pedestrian traffic accidents,V605,Male,16-24 years,0.08
Unintenional injuries,Road/pedestrian traffic accidents,V605,Female,16-24 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V605,Male,25-34 years,0.15
Unintenional injuries,Road/pedestrian traffic accidents,V605,Female,25-34 years,0.02
Unintenional injuries,Road/pedestrian traffic accidents,V605,Male,35-44 years,0.21
Unintenional injuries,Road/pedestrian traffic accidents,V605,Female,35-44 years,0.03
Unintenional injuries,Road/pedestrian traffic accidents,V605,Male,45-54 years,0.22
Unintenional injuries,Road/pedestrian traffic accidents,V605,Female,45-54 years,0.06
Unintenional injuries,Road/pedestrian traffic accidents,V605,Male,55-64 years,0.25
Unintenional injuries,Road/pedestrian traffic accidents,V605,Female,55-64 years,0.04
Unintenional injuries,Road/pedestrian traffic accidents,V605,Male,65-74 years,0.16
